Number,Title,Price,Item ID,Global ID,Category,Payment Method,Country,Selling State,Start Time,End Time
7815,Mason Jar Kitchen Utensil Holder/ Canister Set,23.0,322645100182,EBAY-US,Canisters & Jars,PayPal,"Boise,ID,USA",Active,2017-08-10,2017-12-08
7816,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -40",5.99,142500641950,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7817,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -39",5.99,142500644639,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7818,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -44",5.99,142500645639,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7819,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -45",5.99,142500646954,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7820,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -42",5.99,142500649247,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7821,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -41",5.99,142500650446,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7822,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -46",5.99,142500651556,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7823,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # P -43",5.99,142500642462,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-07,2017-12-06
7824,Vintage 1/2 Gallon Presto Supreme Mason Duraglass Canning Jar,7.99,192371228901,EBAY-US,Jars,PayPal,"Athena,OR,USA",Active,2017-11-21,2017-11-28
7825,Vintage Ceramic Utensil Crock in Aqua-or Red-- Mason Jar Container (Red),22.94,222726640288,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-11-20,2017-12-20
7826,"Beautiful Angel Tears LED 46"" 12 Light String Lid for Regular Mason Jar Set of 4",51.95,231560255154,EBAY-US,Jars,PayPal,"Pinckney,MI,USA",Active,2015-05-13,2017-11-28
7827,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # W - 83",5.99,142496118800,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
